Year,State,District,Name,Photo,Photo_Downloadable,Party,Votes,Incumbent,ID
2020,CA,24,Andy Caldwell,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"149,781",0,CA_24_2
2020,CA,25,Mike Garcia,https://upload.wikimedia.org/wikipedia/commons/b/b9/Mike_Garcia%2C_official_portrait%2C_116th_Congress_%28cropped1%29_%28cropped%29.jpg,T,Republican,"169,638",1,CA_25_1
2020,CA,25,Christy Smith,https://upload.wikimedia.org/wikipedia/commons/8/88/Christy_Smith_CA_Assembly_official_photo_%28cropped%29.jpg,T,Democratic,"169,305",0,CA_25_2
2020,CA,26,Julia Brownley,https://upload.wikimedia.org/wikipedia/commons/3/34/Julia_Brownley_official_photo_%28cropped%29.jpg,T,Democratic,"208,856",1,CA_26_1
2020,CA,26,Ronda Baldwin-Kennedy,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"135,877",0,CA_26_2
2020,CA,27,Judy Chu,https://upload.wikimedia.org/wikipedia/commons/b/bf/Judy_Chu_2019-05-02_%28cropped%29.jpg,T,Democratic,"221,411",1,CA_27_1
2020,CA,27,Johnny J. Nalbandian,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"95,907",0,CA_27_2
2020,CA,28,Adam Schiff,https://upload.wikimedia.org/wikipedia/commons/9/9c/Adam_Schiff_official_portrait_%28cropped%29.jpg,T,Democratic,"244,471",1,CA_28_1
2020,CA,28,Eric Early,https://upload.wikimedia.org/wikipedia/commons/e/e7/Eric_Early%2C_2020.jpg,T,Republican,"91,928",0,CA_28_2
2020,CA,29,Tony Cárdenas,https://upload.wikimedia.org/wikipedia/commons/0/09/Tony_C%C3%A1rdenas_114th_Congress_%28cropped%29.jpg,T,Democratic,"119,420",1,CA_29_1
2020,CA,29,Angélica Dueñas,https://upload.wikimedia.org/wikipedia/commons/6/64/AngelicaDuenas_%28cropped%29.jpg,T,Democratic,"91,524",0,CA_29_2
2020,CA,30,Brad Sherman,https://upload.wikimedia.org/wikipedia/commons/8/8e/Brad_Sherman_116th_Congress.jpg,T,Democratic,"240,038",1,CA_30_1
2020,CA,30,Mark S. Reed,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"105,426",0,CA_30_2
2020,CA,31,Pete Aguilar,https://upload.wikimedia.org/wikipedia/commons/e/e5/Pete_Aguilar_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg,T,Democratic,"175,315",1,CA_31_1
2020,CA,31,Agnes Gibboney,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"110,735",0,CA_31_2
2020,CA,32,Grace Napolitano,https://upload.wikimedia.org/wikipedia/commons/f/f8/Rep-Napolitano_%28alt_crop%29.jpg,T,Democratic,"172,942",1,CA_32_1
2020,CA,32,Joshua M. Scott,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"86,818",0,CA_32_2
2020,CA,33,Ted Lieu,https://upload.wikimedia.org/wikipedia/commons/c/c1/Congressman_Ted_W._Lieu_official_photo_%28cropped%29.jpg,T,Democratic,"257,094",1,CA_33_1
2020,CA,33,James P. Bradley,https://upload.wikimedia.org/wikipedia/commons/a/ac/James_P._Bradley%2C_2020_%28cropped%29.png,T,Republican,"123,334",0,CA_33_2
2020,CA,34,Jimmy Gomez,https://upload.wikimedia.org/wikipedia/commons/9/93/Jimmy_Gomez_official_portrait_%28alt_crop%29.jpg,T,Democratic,"108,792",1,CA_34_1
2020,CA,34,David Kim,https://upload.wikimedia.org/wikipedia/commons/0/06/DavidKimCA_%28cropped%29.jpg,T,Democratic,"96,554",0,CA_34_2
2020,CA,35,Norma Torres,https://upload.wikimedia.org/wikipedia/commons/6/62/Norma_Torres_115th_official_photo_%28cropped%29.jpg,T,Democratic,"169,405",1,CA_35_1
2020,CA,35,Mike Cargile,https://upload.wikimedia.org/wikipedia/commons/3/35/Mike_Cargile_on_AI_News_%28cropped%29.jpg,T,Republican,"74,941",0,CA_35_2
2020,CA,36,Raul Ruiz,https://upload.wikimedia.org/wikipedia/commons/5/5c/Raul_Ruiz%2C_official_portrait%2C_113th_congress_%283x4%29.jpg,T,Democratic,"185,051",1,CA_36_1
2020,CA,36,Erin Cruz,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"121,640",0,CA_36_2
2020,CA,37,Karen Bass,https://upload.wikimedia.org/wikipedia/commons/4/4b/Karen-Bass-2012_%28cropped%29.jpg,T,Democratic,"254,916",1,CA_37_1
2020,CA,37,Errol Webber,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"41,705",0,CA_37_2
2020,CA,38,Linda Sánchez,https://upload.wikimedia.org/wikipedia/commons/0/0c/Linda_S%C3%A1nchez%2C_116th_Congress%2C_official_photo_%28cropped%29.jpg,T,Democratic,"190,467",1,CA_38_1
2020,CA,38,Michael Tolar,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"65,739",0,CA_38_2
2020,CA,39,Young Kim,https://upload.wikimedia.org/wikipedia/commons/d/d0/Young_Kim_%28cropped%29.jpg,T,Republican,"173,946",0,CA_39_1
2020,CA,39,Gil Cisneros,https://upload.wikimedia.org/wikipedia/commons/0/0b/Gil_Cisneros%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"169,837",1,CA_39_2
2020,CA,40,Lucille Roybal-Allard,https://upload.wikimedia.org/wikipedia/commons/8/80/Lucille_Roybal-Allard_%28CA-40%29.jpg,T,Democratic,"135,572",1,CA_40_1
2020,CA,40,Antonio Delgado,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"50,809",0,CA_40_2
2020,CA,41,Mark Takano,https://upload.wikimedia.org/wikipedia/commons/1/16/Mark_Takano%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,T,Democratic,"167,938",1,CA_41_1
2020,CA,41,Aja Smith,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"94,289",0,CA_41_2
2020,CA,42,Ken Calvert,https://upload.wikimedia.org/wikipedia/commons/e/e1/Ken_Calvert%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,T,Republican,"210,274",1,CA_42_1
2020,CA,42,Liam O'Mara,https://upload.wikimedia.org/wikipedia/commons/1/13/Liam_O%27Mara_%282020%29_%28cropped%29.png,T,Democratic,"157,773",0,CA_42_2
2020,CA,43,Maxine Waters,https://upload.wikimedia.org/wikipedia/commons/b/b8/Maxine_Waters%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,T,Democratic,"199,210",1,CA_43_1
2020,CA,43,Joe Collins,https://upload.wikimedia.org/wikipedia/commons/5/5a/JoeCollins3_%28cropped%29.jpg,T,Republican,"78,688",0,CA_43_2
2020,CA,44,Nanette Barragán,https://upload.wikimedia.org/wikipedia/commons/5/53/Nanette_Barragan_official_portrait_%28cropped_2%29.jpg,T,Democratic,"139,661",1,CA_44_1
2020,CA,44,Analilia Joya,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"66,375",0,CA_44_2
2020,CA,45,Katie Porter,https://upload.wikimedia.org/wikipedia/commons/1/1c/Katie_Porter_Official_Portrait_%28cropped%29.jpg,T,Democratic,"221,843",1,CA_45_1
2020,CA,45,Greg Raths,https://upload.wikimedia.org/wikipedia/commons/a/a0/Greg_Raths_%28cropped%29.jpg,T,Republican,"193,096",0,CA_45_2
2020,CA,46,Lou Correa,https://upload.wikimedia.org/wikipedia/commons/c/c0/Lou_Correa_official_portrait.jpg,T,Democratic,"157,803",1,CA_46_1
2020,CA,46,James S. Waters,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"71,716",0,CA_46_2
2020,CA,47,Alan Lowenthal,https://upload.wikimedia.org/wikipedia/commons/9/94/Alan_Lowenthal_113th_Congress_Portrait_%28cropped%29.jpeg,T,Democratic,"197,028",1,CA_47_1
2020,CA,47,John Briscoe,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"114,371",0,CA_47_2
2020,CA,48,Michelle Steel,https://upload.wikimedia.org/wikipedia/commons/b/b9/MichelleSteel_%28cropped%29.jpg,T,Republican,"201,738",0,CA_48_1
2020,CA,48,Harley Rouda,https://upload.wikimedia.org/wikipedia/commons/f/f4/Harley_Rouda%2C_official_portrait%2C_116th_Congress_%283x4%29.jpg,T,Democratic,"193,362",1,CA_48_2
2020,CA,49,Mike Levin,https://upload.wikimedia.org/wikipedia/commons/1/1e/Mike_Levin%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"205,349",1,CA_49_1
2020,CA,49,Brian Maryott,https://upload.wikimedia.org/wikipedia/commons/7/7d/Brian_Maryott_%28cropped%29.jpg,T,Republican,"181,157",0,CA_49_2
2020,CA,50,Darrell Issa,https://upload.wikimedia.org/wikipedia/commons/0/09/Darrell_Issa%2C_official_portrait%2C_117th_Congress_%28cropped%29.jpg,T,Republican,"195,510",0,CA_50_1
2020,CA,50,Ammar Campa-Najjar,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"166,859",0,CA_50_2
2020,CA,51,Juan Vargas,https://upload.wikimedia.org/wikipedia/commons/4/4b/Juan_Vargas%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,T,Democratic,"165,596",1,CA_51_1
2020,CA,51,Juan Hidalgo Jr.,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"76,841",0,CA_51_2
2020,CA,52,Scott Peters,https://upload.wikimedia.org/wikipedia/commons/c/c9/Scott_Peters%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"244,145",1,CA_52_1
2020,CA,52,Jim DeBello,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"152,350",0,CA_52_2
2020,CA,53,Sara Jacobs,https://upload.wikimedia.org/wikipedia/commons/5/5e/Sara_Jacobs%2C_official_portrait%2C_117th_Congress_%28cropped%29.jpg,T,Democratic,"199,244",0,CA_53_1
2020,CA,53,Georgette Gómez,https://upload.wikimedia.org/wikipedia/commons/d/db/Councilmember_Georgette_Gomez_%28cropped%29.jpg,T,Democratic,"135,614",0,CA_53_2
